bot_count,operators_per_station,seed,mean_pph,p5_pph,p95_pph,deadlocks,peak_queue_depth,avg_op_utilization,phase,waves,wave_offset_s,status,solver_s
4,1,1,61.0,61.0,118.0,0,1,0.271,linear,1,236,OPTIMAL,30.32
4,1,2,118.0,61.0,118.0,0,1,0.525,linear,2,122,FEASIBLE,30.58
4,1,3,118.0,61.0,118.0,0,1,0.525,linear,2,122,FEASIBLE,30.35
6,1,1,81.8,59.2,81.8,0,1,0.364,collapse,1,264,OPTIMAL,32.45
6,1,2,59.2,59.2,81.8,0,1,0.263,collapse,1,365,OPTIMAL,48.02
6,1,3,81.8,59.2,81.8,0,1,0.364,collapse,1,264,OPTIMAL,31.59
8,1,1,73.3,73.3,73.3,0,1,0.326,collapse,1,393,FEASIBLE,60.1
8,1,2,73.3,73.3,73.3,0,1,0.326,collapse,1,393,FEASIBLE,60.09
8,1,3,73.3,73.3,73.3,0,1,0.326,collapse,1,393,FEASIBLE,60.08
10,1,1,65.0,65.0,72.7,0,1,0.289,collapse,1,554,FEASIBLE,60.09
10,1,2,67.9,65.0,72.7,0,1,0.302,collapse,1,530,FEASIBLE,60.14
10,1,3,72.7,65.0,72.7,0,1,0.323,collapse,1,495,FEASIBLE,60.13
12,1,1,0.0,0.0,0.0,1,0,0.0,collapse,0,0,INFEASIBLE,60.14
12,1,2,0.0,0.0,0.0,1,0,0.0,collapse,0,0,INFEASIBLE,60.12
12,1,3,0.0,0.0,0.0,1,0,0.0,collapse,0,0,INFEASIBLE,60.18
16,1,1,0.0,0.0,0.0,1,0,0.0,collapse,0,0,INFEASIBLE,30.37
16,1,2,0.0,0.0,0.0,1,0,0.0,collapse,0,0,INFEASIBLE,30.42
16,1,3,0.0,0.0,0.0,1,0,0.0,collapse,0,0,INFEASIBLE,30.33
20,1,1,0.0,0.0,0.0,1,0,0.0,collapse,0,0,INFEASIBLE,30.37
20,1,2,0.0,0.0,0.0,1,0,0.0,collapse,0,0,INFEASIBLE,30.4
20,1,3,0.0,0.0,0.0,1,0,0.0,collapse,0,0,INFEASIBLE,30.25
